,time,4T,5S,5W,4W,4S,direction
613,1681806767.5,0,0,0,0,0,0
614,1681806817.5,0,0,0,0,0,0
615,1681806867.5,0,0,0,0,0,0
616,1681806917.5,0,0,0,0,0,0
617,1681806967.5,0,0,0,0,0,0
618,1681807017.5,0,0,0,0,0,0
619,1681807067.5,0,0,0,0,0,0
620,1681807117.5,0,0,0,0,0,0
621,1681807167.5,0,0,0,0,0,0
622,1681807217.5,0,0,0,0,0,0
623,1681807267.5,0,0,0,0,0,0
624,1681807317.5,0,0,0,0,0,0
625,1681807367.5,0,0,0,0,0,0
626,1681807417.5,0,0,0,0,0,0
627,1681807467.5,0,0,0,0,0,0
628,1681807517.5,0,0,0,0,0,0
629,1681807567.5,0,0,0,0,0,0
630,1681807617.5,0,0,0,0,0,0
631,1681807667.5,0,0,0,0,0,0
632,1681807717.5,0,0,0,0,0,0
633,1681807767.5,0,0,0,0,0,0
634,1681807817.5,0,0,0,0,0,0
635,1681807867.5,0,0,0,0,0,0
636,1681807917.5,0,0,0,0,0,0
637,1681807967.5,0,0,0,0,0,0
638,1681808017.5,0,0,0,0,0,0
639,1681808067.5,0,0,0,0,0,0
640,1681808117.5,0,0,0,0,0,0
641,1681808167.5,0,0,0,0,0,0
642,1681808217.5,0,0,0,0,0,0
643,1681808267.5,0,0,0,0,0,0
644,1681808317.5,0,0,0,0,0,0
645,1681808367.5,0,0,0,0,0,0
646,1681808417.5,0,0,0,0,0,0
647,1681808467.5,0,0,0,0,0,0
648,1681808517.5,0,0,0,0,0,0
649,1681808567.5,0,0,0,0,0,0
650,1681808617.5,0,0,0,0,0,1
651,1681808667.5,0,0,0,0,0,1
652,1681808717.5,0,0,0,0,0,1
653,1681808767.5,0,0,0,0,0,1
654,1681808817.5,0,0,0,0,0,1
655,1681808867.5,0,0,0,0,0,1
656,1681808917.5,0,0,0,0,0,1
657,1681808967.5,0,0,0,0,0,1
658,1681809017.5,0,0,0,0,0,1
659,1681809067.5,0,0,0,0,0,1
660,1681809117.5,0,0,0,0,0,1
661,1681809167.5,0,0,0,0,0,1
662,1681809217.5,0,0,0,0,0,1
663,1681809267.5,0,0,0,0,0,1
664,1681809317.5,0,0,0,0,0,1
665,1681809367.5,0,0,0,0,0,1
666,1681809417.5,0,0,0,0,0,1
667,1681809467.5,0,0,0,0,0,1
668,1681809517.5,0,0,0,0,0,1
669,1681809567.5,0,0,0,0,0,1
670,1681809617.5,0,0,0,0,0,1
671,1681809667.5,0,0,0,0,0,1
672,1681809717.5,0,0,0,0,0,1
673,1681809767.5,0,0,0,0,0,1
674,1681809817.5,0,0,0,0,0,1
675,1681809867.5,0,0,0,0,0,1
676,1681809917.5,0,0,0,0,0,1
677,1681809967.5,0,0,0,0,0,1
678,1681810017.5,0,0,0,0,0,1
679,1681810067.5,0,0,0,0,0,1
680,1681810117.5,0,0,0,0,0,1
681,1681810167.5,0,0,0,0,0,1
682,1681810217.5,0,0,0,0,0,1
683,1681810267.5,0,0,0,0,0,1
684,1681810317.5,0,0,0,0,0,1
685,1681810367.5,0,0,0,0,0,1
686,1681810417.5,0,0,0,0,0,1
687,1681810467.5,0,0,0,0,0,1
688,1681810517.5,0,0,0,0,0,1
689,1681810567.5,0,0,0,0,0,1
690,1681810617.5,0,0,0,0,0,1
691,1681810667.5,0,0,0,0,0,1
692,1681810717.5,0,0,0,0,0,1
693,1681810767.5,0,0,0,0,0,1
694,1681810817.5,0,0,0,0,0,1
695,1681810867.5,0,0,0,0,0,1
696,1681810917.5,0,0,0,0,0,1
697,1681810967.5,0,0,0,0,0,1
698,1681811017.5,0,0,0,0,0,1
699,1681811067.5,0,0,0,0,0,1
700,1681811117.5,0,0,0,0,0,0
701,1681811167.5,0,0,0,0,0,0
702,1681811217.5,0,0,0,0,0,0
703,1681811267.5,0,0,0,0,0,0
704,1681811317.5,0,0,0,0,0,0
705,1681811367.5,0,0,0,0,0,0
706,1681811417.5,0,0,0,0,0,0
707,1681811467.5,0,0,0,0,0,0
708,1681811517.5,0,0,0,0,0,0
709,1681811567.5,0,0,0,0,0,0
710,1681811617.5,0,0,0,0,0,0
711,1681811667.5,0,0,0,0,0,0
712,1681811717.5,0,0,0,0,0,0
713,1681811767.5,0,0,0,0,0,0
714,1681811817.5,0,0,0,0,0,0
715,1681811867.5,0,0,0,0,0,0
716,1681811917.5,0,0,0,0,0,0
717,1681811967.5,0,0,0,0,0,0
718,1681812017.5,0,0,0,0,0,0
719,1681812067.5,0,0,0,0,0,0
720,1681812117.5,0,0,0,0,0,0
721,1681812167.5,0,0,0,0,0,0
722,1681812217.5,0,0,0,0,0,0
723,1681812267.5,0,0,0,0,0,0
724,1681812317.5,0,0,0,0,0,0
725,1681812367.5,0,0,0,0,0,0
726,1681812417.5,0,0,0,0,0,0
727,1681812467.5,0,0,0,0,0,0
728,1681812517.5,0,0,0,0,0,0
729,1681812567.5,0,0,0,0,0,0
730,1681812617.5,0,0,0,0,0,0
731,1681812667.5,0,0,0,0,0,0
732,1681812717.5,0,0,0,0,0,0
733,1681812767.5,0,0,0,0,0,0
734,1681812817.5,0,0,0,0,0,0
735,1681812867.5,0,0,0,0,0,0
736,1681812917.5,0,0,0,0,0,0
737,1681812967.5,0,0,0,0,0,0
